config_name,a_ttv,p_ttv,e_ttv,count_rate,snr_level,sde,period,depth,epoch,width,num_pts_in_transit,scenario,ttv_params,success,computation_time,lightcurve_creation_time
baseline_small,0.05,30,-15.0,100.0,100,6.086991310119629,4.637960764578454,-0.0010800313903018832,0.3447133004665375,0.06267514824867249,450,correct_ettv,"(30, 0.05, -15.0)",True,21.024646759033203,0.00576329231262207
baseline_small,0.05,30,-15.0,100.0,100,6.236708641052246,20.540786744162073,-0.001645406475290656,17.461231231689453,0.15632258355617523,189,incorrect_ettv,"(30, 0.05, 0.0)",True,25.71420383453369,
baseline_small,0.05,30,-15.0,100.0,100,6.217828750610352,36.27183423839801,0.003046454396098852,11.590741157531738,0.0624837800860405,55,no_ttv,"(0.0, 0.0, 0.0)",True,24.635027408599854,
baseline_small,0.05,30,-15.0,193.06977288832496,193,4.65971565246582,13.099270246830862,-0.0009233586606569588,7.174898624420166,0.156315878033638,299,correct_ettv,"(30, 0.05, -15.0)",True,18.16701602935791,0.007091522216796875
baseline_small,0.05,30,-15.0,193.06977288832496,193,4.5127272605896,51.186001311973435,0.0018879449926316738,12.937121391296387,0.12499634176492691,67,incorrect_ettv,"(30, 0.05, 0.0)",True,19.054348468780518,
baseline_small,0.05,30,-15.0,193.06977288832496,193,4.455428123474121,29.813769697806723,-0.0018768677255138755,17.68825340270996,0.0625026598572731,68,no_ttv,"(0.0, 0.0, 0.0)",True,25.746641635894775,
baseline_small,0.05,30,-15.0,372.7593720314938,372,6.414504051208496,63.267868698543396,-0.0014032799517735839,5.014564514160156,0.15621696412563324,81,correct_ettv,"(30, 0.05, -15.0)",True,18.153700590133667,0.007012367248535156
baseline_small,0.05,30,-15.0,372.7593720314938,372,6.378078937530518,63.29393978993,-0.0013826636131852865,4.891605854034424,0.15628133714199066,81,incorrect_ettv,"(30, 0.05, 0.0)",True,19.022339344024658,
baseline_small,0.05,30,-15.0,372.7593720314938,372,6.857314109802246,63.2809029082401,-0.0014205651823431253,4.953097820281982,0.15624913573265076,81,no_ttv,"(0.0, 0.0, 0.0)",True,24.035572052001953,
baseline_small,0.05,30,-15.0,719.685673001152,719,5.525396347045898,3.9885137671776163,-0.00039477564860135317,0.997128427028656,0.062320526689291,509,correct_ettv,"(30, 0.05, -15.0)",True,23.4973464012146,0.005724430084228516
baseline_small,0.05,30,-15.0,719.685673001152,719,4.949726581573486,38.579280275592055,0.0008122752187773585,19.195924758911133,0.15619142353534698,108,incorrect_ettv,"(30, 0.05, 0.0)",True,25.741395235061646,
baseline_small,0.05,30,-15.0,719.685673001152,719,5.313080787658691,64.09035198066908,0.0011718126479536295,6.702769756317139,0.09374503046274185,54,no_ttv,"(0.0, 0.0, 0.0)",True,23.321733951568604,
baseline_small,0.05,30,-15.0,1389.4954943731373,1389,8.236615180969238,3.987682787924927,-0.00031844634213484824,0.9969207048416138,0.06230754405260086,514,correct_ettv,"(30, 0.05, -15.0)",True,22.14514708518982,0.0066983699798583984
baseline_small,0.05,30,-15.0,1389.4954943731373,1389,4.543087959289551,30.83082703450219,0.00067710573785007,27.94141387939453,0.09371072053909302,72,incorrect_ettv,"(30, 0.05, 0.0)",True,24.856892347335815,
baseline_small,0.05,30,-15.0,1389.4954943731373,1389,4.088578224182129,5.826596660320719,-0.00021322042448446155,2.553051710128784,0.15662893652915955,704,no_ttv,"(0.0, 0.0, 0.0)",True,24.95827317237854,
baseline_small,0.05,30,-15.0,2682.6957952797247,2682,15.869905471801758,3.987682787924927,-0.0002890826144721359,0.9969207048416138,0.06230754405260086,514,correct_ettv,"(30, 0.05, -15.0)",True,21.370585680007935,0.0065250396728515625
baseline_small,0.05,30,-15.0,2682.6957952797247,2682,5.053315162658691,0.6072950795375018,-6.47987108095549e-05,0.5114063620567322,0.12785159051418304,5687,incorrect_ettv,"(30, 0.05, 0.0)",True,24.082601070404053,
baseline_small,0.05,30,-15.0,2682.6957952797247,2682,8.796714782714844,3.9876789457886432,-0.0001984129921765998,1.0124965906143188,0.09346122294664383,682,no_ttv,"(0.0, 0.0, 0.0)",True,25.926562070846558,
baseline_small,0.05,30,-15.0,5179.474679231213,5179,52.73368835449219,3.987682787924927,-0.00036267595714889467,0.9969207048416138,0.06230754405260086,514,correct_ettv,"(30, 0.05, -15.0)",True,20.9151873588562,0.005690336227416992
baseline_small,0.05,30,-15.0,5179.474679231213,5179,16.200754165649414,3.9893372304357877,-0.0001531192392576486,0.9817509651184082,0.15583348274230957,1027,incorrect_ettv,"(30, 0.05, 0.0)",True,22.4542498588562,
baseline_small,0.05,30,-15.0,5179.474679231213,5179,33.58794021606445,3.9885099238179182,-0.0002572521916590631,0.9815473556518555,0.09348069876432419,681,no_ttv,"(0.0, 0.0, 0.0)",True,25.15366244316101,
baseline_small,0.05,30,-15.0,10000.0,10000,89.60140228271484,3.987682787924927,-0.00037880282616242766,0.9969207048416138,0.06230754405260086,514,correct_ettv,"(30, 0.05, -15.0)",True,21.158104419708252,0.006943464279174805
baseline_small,0.05,30,-15.0,10000.0,10000,35.09549331665039,3.9893372304357877,-0.00017266676877625287,0.9505842328071594,0.15583348274230957,1023,incorrect_ettv,"(30, 0.05, 0.0)",True,24.725898027420044,
baseline_small,0.05,30,-15.0,10000.0,10000,55.45158004760742,3.989341075011707,-0.0002620015584398061,0.9505851864814758,0.09350018203258514,682,no_ttv,"(0.0, 0.0, 0.0)",True,25.361387014389038,
