config_name,a_ttv,p_ttv,e_ttv,count_rate,snr_level,sde,period,depth,epoch,width,num_pts_in_transit,scenario,ttv_params,success,computation_time,lightcurve_creation_time
extreme_medium,0.03,60,-30.0,100.0,100,4.770705223083496,36.16616456440968,-0.0021828992757946,12.58157444000244,0.1562928408384323,108,correct_ettv,"(60, 0.03, -30.0)",True,129.95644855499268,0.0159461498260498
extreme_medium,0.03,60,-30.0,193.06977288832496,193,5.341728210449219,24.44433366715245,0.0012897544074803,4.704440116882324,0.1562936902046203,162,correct_ettv,"(60, 0.03, -30.0)",True,116.2385766506195,0.0137465000152587
extreme_medium,0.03,60,-30.0,372.7593720314938,372,4.675939559936523,32.764943613674546,0.0009763956186361,5.674463272094727,0.1563213020563125,135,correct_ettv,"(60, 0.03, -30.0)",True,117.4252543449402,0.0132825374603271
extreme_medium,0.03,60,-30.0,719.6856730011522,719,7.882962703704834,11.979132769477811,-0.0006666656699962,8.898337364196777,0.093831330537796,214,correct_ettv,"(60, 0.03, -30.0)",True,130.69666838645935,0.0182816982269287
extreme_medium,0.03,60,-30.0,1389.4954943731375,1389,14.291486740112305,3.987678177362252,-0.0003954398271162,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,81.0361750125885,0.0143618583679199
extreme_medium,0.03,60,-30.0,2682.6957952797247,2682,32.123409271240234,3.987678177362252,-0.0003729304298758,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,79.65919780731201,0.0203213691711425
extreme_medium,0.03,60,-30.0,5179.474679231213,5179,45.27771759033203,3.987678177362252,-0.0003711005847435,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,78.84525775909424,0.0211021900177001
extreme_medium,0.03,60,-30.0,10000.0,10000,92.6659698486328,3.987678177362252,-0.0004161368415225,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,78.53851509094238,0.0192770957946777
extreme_medium,0.03,60,-30.0,19306.97728883249,19306,127.16586303710938,3.987678177362252,-0.0003726860741153,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,107.88997340202332,0.017733097076416
extreme_medium,0.03,60,-30.0,37275.93720314938,37275,153.6962890625,3.987678177362252,-0.0003905383928213,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,106.1175947189331,0.0255346298217773
extreme_medium,0.03,60,-30.0,71968.56730011514,71968,199.6553497314453,3.987678177362252,-0.0003740442043635,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,103.09887385368349,0.0356991291046142
extreme_medium,0.03,60,-30.0,138949.5494373136,138949,215.79669189453125,3.987678177362252,-0.000378398108296,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,102.34846258163452,0.0257623195648193
extreme_medium,0.03,60,-30.0,268269.57952797273,268269,206.59085083007807,3.987678177362252,-0.0003886110789608,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,56.2918655872345,0.0129501819610595
extreme_medium,0.03,60,-30.0,517947.4679231202,517947,232.56362915039065,3.987678177362252,-0.0003818695840891,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,51.86390948295593,0.0191285610198974
extreme_medium,0.03,60,-30.0,1000000.0,1000000,238.9005584716797,3.987678177362252,-0.000387485284591,0.996919572353363,0.0623074732720851,509,correct_ettv,"(60, 0.03, -30.0)",True,47.529229402542114,0.0149183273315429
extreme_medium,0.03,60,-30.0,100.0,100,6.757361888885498,32.45242559776365,-0.0031434437260031,16.851499557495117,0.0625287592411041,66,incorrect_ettv,"(60, 0.03, 0.0)",True,95.18351411819458,
extreme_medium,0.03,60,-30.0,193.06977288832496,193,4.629936218261719,70.59614470428309,-0.0021135236602276,1.8594380617141724,0.0937531813979148,54,incorrect_ettv,"(60, 0.03, 0.0)",True,94.38316774368286,
extreme_medium,0.03,60,-30.0,372.7593720314938,372,4.299728393554688,0.8983251516922341,-0.0002473966451361,0.4956276714801788,0.0619534589350223,2249,incorrect_ettv,"(60, 0.03, 0.0)",True,94.58241033554076,
extreme_medium,0.03,60,-30.0,719.6856730011522,719,4.903758049011231,59.86901272434643,-0.0009953354019671,20.841665267944336,0.1249874979257583,68,incorrect_ettv,"(60, 0.03, 0.0)",True,94.25840711593628,
extreme_medium,0.03,60,-30.0,1389.4954943731375,1389,8.21864128112793,3.9851878180201568,-0.000315439858241,1.0274312496185305,0.0622685588896274,508,incorrect_ettv,"(60, 0.03, 0.0)",True,73.56406807899475,
extreme_medium,0.03,60,-30.0,2682.6957952797247,2682,17.542940139770508,3.9893418439277712,-0.0002062259591184,0.9817520976066588,0.1558336615562439,1022,incorrect_ettv,"(60, 0.03, 0.0)",True,73.7486686706543,
extreme_medium,0.03,60,-30.0,5179.474679231213,5179,24.568628311157227,3.986848909069822,-0.000196173263248,1.012285828590393,0.1557362824678421,1023,incorrect_ettv,"(60, 0.03, 0.0)",True,80.78804588317871,
